,Year,Month,average_Price,year-Month
0,2020,04,242.70855943510153,2020-04
1,2020,05,248.30841373405528,2020-05
2,2020,06,254.86710493978865,2020-06
3,2020,07,260.387834056081,2020-07
4,2020,08,259.7892404411007,2020-08
5,2020,09,259.8352420742197,2020-09
6,2020,10,263.9504792332268,2020-10
7,2020,11,264.5125788482018,2020-11
8,2020,12,258.4866100095926,2020-12
9,2021,01,235.48841357550003,2021-01
10,2021,02,236.736351507917,2021-02
11,2021,03,239.89798951949834,2021-03
12,2021,04,241.65393575844294,2021-04
